song,album,lyrics
10-bands,if-youre-reading-this-its-too-late,"10 Bands, 50 bands 100 bands, fuck it man Let's just not even discuss it man O-M-G Niggas sleep, I ain't trippin' I'ma let em sleep I ain't trippin' let em rest in peaceI can tell ya how it happened I can tell ya bout them safe house nights out in Calabasas I can tell you not a rapper Tryna sell these story I don't even open up the package Who you with? What you claim? I was paying momma's rent was I turning 17 Sold it dirty like Diana never clean My ex ask me where I'm moving I said ""On to better things""10 Bands, 50 bands 100 bands, fuck it man Let's just not even discuss it man O-M-G Niggas sleep, I ain't trippin' I'ma let em sleep I ain't trippin' let em rest in peaceI been in the crib with the phones off I been at the house taking no calls I done hit the stride got my shit going In the six cooking with the wrist motion Drapes closed I don't know what time it is I'm still awake I gotta shine this year I could never ever let the streets down Haven't left the condo in a week now10 Bands, 50 bands 100 bands, fuck it man Let's just not even discuss it man O-M-G Niggas sleep, I ain't trippin' I'ma let em sleep I ain't trippin' let em rest in peaceI been on a mission haven't left the condo This that OvO that SZN this that new Toronto I get boxes of free Jordan like I play for North Carolina How much I make off the deal, how the fuck should I know? All my watches always timeless you can keep the diamonds Treating diamonds of Atlanta like it's king of diamonds Take a flick I look like Meechie look like Bleu DaVinci I treat V Live like it's 07 in Magic City Man I told my city I'd be gone till November, then November came Then I came, right back on my worst behav' 6 God put both hands together that's amazing grace 6 God selfish with the love, I need all the praise (Woo) They got me feeling like the one again (Woo) They got me feeling like the one again Yeah shout goes out to Nike checks all over me I need a FuelBand just to see how long the run has been10 Bands, 50 bands 100 bands, fuck it man Let's just not even discuss it man O-M-G Niggas sleep, I ain't trippin' I'ma let em sleep I ain't trippin' let em rest in peaceI been in the crib with the phones off I been at the house taking no calls I done hit the stride got my shit going In the six cooking with the wri-wri-wri-wri"
know-yourself,if-youre-reading-this-its-too-late,"Wallets, wallets, wallets, wallets, wallets Y'all sleepin' in the streets Shaky warrior Yeah, this that Oliver 40, Niko shit man, 15 Fort York shit ya know Boi-1da, what's poppin'?Yeah, yeah Runnin' through the 6 with my woes Countin' money you know how it goes Pray the real live forever man Pray the fakes get exposed I want that ferrari then I swerve I want that bugatti just to hurt I ain't rockin' my jewelry that's on purpose Niggas want my spot and don't deserve it I don't like how serious they take themselves I've always been me I guess I know myself Shakiness man I don't have no time for that My city too turnt up I'll take the fine for that This been where you find me at That's been where you find me at I know a nigga named Johnny Bling He put me on to the finer things Had a job sellin' Girbraud jeans I had a yellow TechnoMarine Then Kanye dropped, it was polos and backpacks That was when Ethan was pushin' a Subaru hatchbackMan I'm talkin' way before hashtagsI was runnin' through the 6 with my woes Yeah! I was runnin' through the 6 with my woes You know how that shit go You know how that shit go You know how that shit go Runnin' through the 6 with my woes You know how that shit goYou know how that shit go You know how that shit goDon't fuck with them niggas they too irrational This is that nasty flow Top boy in this shit, I'm so international Reps up in here got P Reign and Chubby and TJ and Winnie Yeah, and you know how that shit go I might declare it a holiday as soon as Baka get back on the road Yeah but you know how that shit go They so irrational, they don't wanna patch it up They wanna mash it up, woah My nigga jibba he whip it I ride in the passenger I'm way up, I stay up, I'm two up, I'm three up I had to get back to you, woahI'm turnin' into a nigga that thinks about money and women Like twenty four seven, that's where my life took me That's just how shit happened to go Hey you knowrunnin' through the 6 with my woes Yeah! I was runnin' through the 6 with my woes You know how that shit go You know how that shit goYou know how that shit go I was runnin' through the 6 with my woes You know how that shit go You know how that shit go You know how that shit go Runnin' through the 6 with my woes You know how that shit goWith my woes"
no-tellin,if-youre-reading-this-its-too-late,"Envelopes coming in the mail, let her open em' Hopin' for a check again, ain't no tellin' Yeah, she invite me to the telly Keep the blade with me when I go to check a bitch, ain't no' tellin Yeah, police comin' round' lookin' for some help on a case they gotta solve, we never help 'em Yeah, I stay up late at night, thinkin' bout' my life Want a lot, will I get it all? Ain't no tellin' Ain't no tellin', yeah, ain't no tellin' Yeah, no tellin' Ain't no tellin'Suitcase, I been living outta' suitcase Still drinkin' Henny, if it's done, I'll take the D'usse Oops, aye, fuck it, all you niggas two-faced Got the club going up on a Tuesday True say, I been going hard but then again They think I'm soft, think I'm innocent I'm just lookin' in the mirror like I'm really him Man, I'm really him, you just fillin' in, man I gotta blunt, can I get a light? Yeah, I took the summer off to get it right Yeah, I gave these boys a shot and they fuckin' failed Niggas like ""you took the summer off? we couldn't tell"" Dog, just bought a island gotta sail to it You pick the casket, I'll put the nail through it I ain't gotta do it, but fuck it someone gotta do it Hate if someone else did it, fuck, I may as well do itEnvelopes coming in the mail, let her open em' Hopin' for a check again, ain't no tellin' Yeah, she invite me to the telly Keep the blade with me when I go to check a bitch, ain't no' tellin Yeah, police comin' round' lookin' for some help on a case they gotta solve, we never help 'em Yeah, I stay up late at night, thinkin' bout' my life Want a lot, will I get it all? Ain't no tellin' Ain't no tellin', yeah, ain't no tellin' Yeah, no tellin' Ain't no tellin'I had to switch the flow up on you niggas The shit was gettin' too predictable The new shit on steroids, I would never pass a physical I got it rollin' in all kinda ways, lump sum and residual, yeah I mean we hear about the money you be gettin' but we just never see a visual It's our year (aw yeah), Aw yeah I mean besides Ricky Ross, Aubrey the biggest boss here (grunt) What's the word these days? Buncha' niggas chasing after all these woman they don't even know Buncha' out of season woman fuckin' off-season niggas to get last season wardrobe All the rappers that you vouch for need to get out of the house more, they washed up And even if the team was religious with it, I can't really see another squad tryna' cross us, nahOVO unruly One shot to make it in a life From the six to the fucking 876Envelopes coming in the mail, let her open em' Hopin' for a check again, ain't no tellin' Yeah, she invite me to the telly Keep the blade with me when I go to check a bitch, ain't no' tellin Yeah, police comin' round' lookin' for some help on a case they gotta solve, we never help 'em Yeah, I stay up late at night, thinkin' bout' my life Want a lot, will I get it all? Ain't no tellin' Ain't no tellin', yeah, ain't no tellin' Yeah, no tellin' Ain't no tellin'I gotta' keep watchin' for Opper's cause' anything's possible, yeah There's no code in ethics out here, anyone will take shots at you, yeah Niggas think they can come take what I got, let's be logical, yeah V-Live, I order that Alfredo pasta then eat in the kitchen like i'm in the mafia Houston, they get me though European, my vehicle How much it hit me fo'? Ain't no tellin', yeah What am I willin' to give her to get what I want tonight? Ain't no tellin' Please don't speak to me like I'm that Drake from four years ago I'm at a higher place Thinkin' they lions and tigers and bears, I go huntin' Put heads on my fire place, oh my, take time Ain't no tellin' Oh my, take time, ain't no tellin'"
madonna,if-youre-reading-this-its-too-late,"Breathe through, ride through, damn girl Oh man I don't know Pilled up filled up damn girl I'll be getting back to you for sure, man man Laced up dripped up sauced up Damn girl I wanna ride with you Waved up blowing up blowing up growing up Had to get it popping with youWhat if I pick you up from your house We should get out We haven't talked in a while We should roll to see where it goes I saw potential in you from the go You know that I did I don't know if you know but I know who you are You could be big as Madonna Just get in the car and let's touch the road Don't make other plans Say you get up early, you work for the man Well he'll understand Pull up I'm pulling up on you in ten Already on ten Big as Madonna I'll say it again Soon as you get in nah nah nahBreathe through, ride through, damn girl Oh man I don't know Pilled up filled up damn girl I'll be getting back to you for sure, man man Laced up dripped up sauced up Damn girl I wanna ride with you Waved up blowing up blowing up growing up Had to get it popping with you"
6-god,if-youre-reading-this-its-too-late,"Rrrr TingI'll admit it, I'll admit it Watch your motherfuckin' tone, boy Get hurt, boy Aww, here go another mo'fucker that don't understand the concept of puttin' money first, boy I'm 'bout to hit you with the work, boy I'm 'bout to hit you with the work, boy I hate comin' through stuntin' on niggas that I know Ahh, that's the worst, boy (worst) I'll admit it, I'll admit it You haven't been the man for like a minute I told you that I'm in it for the long haul You can really get the business I'll admit it, I'll admit it Rolling swishers hittin' swishes Got me feelin' like a ball hog I don't pass 'em when I get it I'll admit it, I'll admit it You too worried 'bout the bitches I got one girl And she my girl And nobody else can hit it She'll admit it, she'll admit it She ain't fuckin' with you niggas And just like every single other thing in my life You can have her when I'm finished I hear the talk on road is I'm the shit, boy Phone call back home, shit is hot up in the 6, boy (hot up in the 6) Shit hot up in the 6 right now, shit hot up in the 6, boy (hot up in the 6) Shit is hot up in the 6 right now Come see us and get it fixed, boy (hey) Black Benz on the road, boy (on road) Already had a Rolls Royce (on road) Sold a couple Bentley last week, them were my old toys I give a fuck about old boy I give a fuck about his squad, boy I give a fuck about your mob, boy I'm the real 6 God, boy I'm about to say a true thing I'm about to say a true thing You was poppin' back when Usher wore a U-chain God damn, you changed I put it on 'erything It's a Rrr Ting It's a OVO come through murk things I know you heard things Bitch, I know you heard things Yeah, I know you heard things, I know you I'm not new to this Coming from the motherfucking 6 side I'm not new to this Niggas wouldn't make it on this side I'm not new to this I'm not new I'm not new Yeah I know you heard things Nobody really likes us except for us Yeah All I ever needed was the squad so that's what's up Yeah My sound got the whole city in your way right now So I don't give a fuck about what anybody sayin' right now"
preach,if-youre-reading-this-its-too-late,"Young nigga preach Preach, preach, preach, preach, preach, preachYoung nigga preach Preach, preach, preach, preach, preach, preachI'm in Miami I need to call up Miss Cassidy My name is party not participation Sorry for the miscommunication I need a drink and some tequila with you You know what I'm trying to do Hey let's pop the E off at Liv I've got some time here to blow I've got the money to blow I've got the money and blow Don't have to guess how I know Oh its a secret just for me I'll keep it You old niggas boring as bones Put the party tape on You know what's going on You know what's going on She keep it wet like tsunami She think she sunk the Titanic I get her hot like Wasabi She think it's wavy and gnarly I think I'ma pop one for you Drink one for youYoung nigga preach Preach, preach, preach, preach, preach, preach Preach, preach, preach, preach, preach, preach Preach, preach, preach, preach, preach, preach Preach Preach Preach Preach Preach PreachStill in Miami Most of these girls are too messy I've got to do some reflecting I've got to find me one out here that is good at taking direction I'm convinced that my calls are being recorded So hit my assistant to get me the message And make the connection like brrrrr I'm on my way tonight I hope you not the crazy type I'm in your state tonight I might just break the bank tonight PND ain't with the ray tay tay You know Jay Ray Got girls her going way way way way way way Sauga city trip the pay day Load up off a gate way Man you can't afford me Doing is one thing, doing it right is a whole different story Niggas is all in their feelings these days, all in their feelings these days But hearing the scripture with that many sixes you should be afraidYoung nigga preach Preach, preach, preach, preach, preach, preachYoung nigga preach Preach, preach, preach, preach, preach, preach"
wednesday-night-interlude,if-youre-reading-this-its-too-late,"Been a minute since we've slept together Gotta get myself together I've been thinkin' about everything I don't know if it's because I'm lonely Lonely on a Wednesday night Girl I'm lonely I'll admit it if you just keep quiet Girl I'm lonely That shit ain't my fault girl Cause I'm lonely Name another woman, ain't no other woman who should come for me When I'm lonely Mix the Remy, little bit of Henny I'm running on empty, I'm lonely When I'm lonely, when I'm lonelyHeard you spend your summers in Miami At somebody's house That you didn't buy You're young so have fun girl I hope it's worth it Cause fuck it I'm not here to judge Fuck it I'm not here to love Everything you did to ball Fuck it, I'm just glad you called Ring ring ring, what a thing Ring ring ring, school bell I ring You and I got options there Name another woman Ain't no other woman that should come for me when I'm lonely When I'm lonely Mix the Remy with a little bit of Henny I'm running on empty, I'm lonely When I'm lonely, when I'm lonely This shit ain't my fault"
used-to,if-youre-reading-this-its-too-late,"Yeah, sound sound sound Real 6 side shit Sickos, ah manYeah, when you get to where I'm at You gotta remind 'em where the fuck you at Every time they talkin' it's behind your back Gotta learn to line 'em up and then attack They gon' say your name on them airwaves They gon' hit you up right after like it's only rap Jewels look like I found a motherfuckin' treasure map And ain't told no one where the fuck it's at Shout out to the G's from the ends We don't love no girls from the ends I'm gon hit 'em with the wham once again I'mma always end up as a man in the end, dog It's just apparent every year Only see the truth when I'm staring in the mirror Lookin' at myself like, there it is there Yeah, like there it is there man, whoo I ain't tryna chance it I be with the bands like a nigga went to Jackson State Or Grambling Young Nick Cannon with the snare drum, dancin' Watch the way I handle it, uh Bring it to the bedroom, you know that shit is candle lit She know I'm the man with it, uh With the bands like I must've went to Clark, went to Hampton I ain't playin' with itI ain't felt the pressure in a little while It's gonna take some getting used to Floatin' all through the city with the windows down Puttin' on like I used to They never told me when you get the crown It's gon' take some getting used to New friends all in their old feelings now They don't love you like they used to manWay more gully gully than buddy buddy Never needed your acceptance, never needed nothin' You don't understand, I'm the only one to hear from You don't understand that it's me or nothin' Yea, I'm fuckin' glowin' up Shaq postin' up on niggas that I used to have posters of Real quick man, you couldn't have hated that Let's be real nigga, you couldn't have made it that Woah, dance our dance, watch me dance You're fuckin' with the best man, I'm too advanced After this drop I got new demands Can't meet the terms, keep it movin' then Make sure the plane got a phone now So when we bout to land I can call to tell the wolves I'm home now I'll tell 'em link up at the valley at the Hazy Think I had the shit that had the city going crazyWhen you get to where the fuck I'm at You gotta remind 'em about where you been About all of the money that done came and went About the two cents I ain't never spent When they say you're too famous to pack a gat I gotta remind 'em about where I'm from Not about where I'm going, about where I've gone Stepping on a Swisher roach like a stepping stone Goin' at a nigga throat like a herringbone Boy do I smell beef? Mmmm pheromones Got a fuckin' halo over my devil horns Trap pumpin' all night like Chevron Suck a nigga dick for a iPhone 6 Fuck my nigga Terry for a new Blackberry You can get buried for a ounce of Katy Perry I was only five but still remember the drought in '87 Lord tell 'em bitches I ain't got no times to play games with 'em I ain't got no time Tell her that I love her and I hate her in the same sentence I'm fuckin' her mind I got, mind control over Deebo Parmesan my panino Promethazine over Pinot And when my bloods start shootin' that's B-roll bitchLet's just let bygones be bygones, okay? Let's just go ahead and just let bygones be bygones I pull up lookin' like a damn cyborg, weighin' 224 Oh man, these boys don't even understand Listen when you see OVO Jodi pull up on the scene with Drake For goodness sakes, well for goodness sakes You see this mixtape you listenin' to? This an album Yea, we could have, we could have sold it to you for 17.99 Or 29.99 with the shirt, buy it at the Target These motherfuckers trippin' so hard I had to look down and double check cause I thought they had their shoes tied together Motherfuckers got they shoes tied together What more could you ask for? Boys harassing me with these questions How about this? How about don't ask me no more motherfucking questions We ain't doing no interview"
6-man,if-youre-reading-this-its-too-late,"Boomin' out in South Gwinnett like Lou Will 6 man like Lou Will, 2 girls and they get along like I'm... Like I'm Lou Will, I just got the new deal I am in the Matrix and I just took the blue pill No ho shit, no fuckin' ho shit, just save that for your shit I don't need no fuckin' body, I run my own shit Like told yah, I thought I told yah, you didn't listen Fieri, I'm in the kitchen, I'm a magician I'm on it, I'm like Macgyver, I'm Michael Meyers I kill careers and cut the lights off, this shit is frightenin' I knew it would end up like this, I'm fuckin' psychic Young but I'm makin' mills use to work the night shiftWork the night shift Young but I'm makin' mills use to work the night shift Work, work the night shiftYoung but I'm gettin' every single motherfuckin' thing I'm owed, you gotta know I'm here to fuck with niggas souls, my heart is cold It's prolly cause I'm from the snow, with all my woes I know they wanna see me go, I'm on a roll I mean I'm back on this again, I'm here again You know the truth, this not pretend, I'm not your friend Not your guy, I'm not your buddy, show no lovin' I might go DeMarcus Cousins out in public I mean I'm back on this again, I'm here again I didn't do this fuckin' tape for CNN I am not tryna win awards, that shit looked forced It's nothin' like this Young but I'm makin' mills use to work the night shiftWork the night shift Young but I'm makin' mills use to work the night shift Work, work the night shiftIf you were worried about where I've been or who I saw or What club I went to with the homies Baby don't worry, you know that you got me I'm never worried about where I'm at or who I saw or What club I go to with the homies Baby don't worry, I know that they got me"
company,if-youre-reading-this-its-too-late,"I got some shit for you to come and get I'm at the St. Regis up on Briar Oaks, hit me when you done your shift Wooh, I see you doin' well, baby Oh, you pullin' shit together, I can tell, baby Is you single or what? I need a girl from the country I need a girl from Kentucky I need a shawty from Houston I need a girl who gon' love me I need a girl who gon' trust me, someone to fuck me Someone to make me feel lucky Someone that's so proud to be with me She walk right up to her ex, look him dead in the face And say, ""You ain't got the juice like that You ain't got the juice like that"" That's cold, ice cold, girl you ain't have to do him like that Why you had to do him like that? Gotta come through quick, quick Oh you at the club cashin' out with Eric Then hit me when you done your shift I know a girl I should propose to, but we just on some different shit She on some up at 9AM already cookin' in the kitchen shit And lately we've been fightin' on some, ""why-you-love-the-strippin-shit"" Yeah, she workin' with the spatula, I know she love flippin' shit All, on me, I don't deserve it She's just a little too perfect, she's just a little too worth it I don't deserve her at all, no not at all I only text her, man I never call I'm still a canine at heart, I'm a dogYeah, that's why you gotta come through quick, quick I'm posted at the Derek up on Westheimer, hit me when you're done your shift I need some company, I need some company I need you to take my mind off being in my prime Some companyI'm a dog, I'm in heat baby, heat baby I'm a dog, I'm in heat baby I'm a dog, I'm a dog, I'm in heat baby I'm in heat baby... Mo City trip! Mo City trip right now! I'm on a Mo City trip, I'm on a Mo City trip right now A Mo City trip right now Mo City trip, Mo City trip right nowIt's a couple faces in here that a nigga piped down So let's go find a place that we can sip right now Tour 'round the city, it's the shit right now It's kinda lit right now that you're here right now Pop a couple percs let's get it in right now Saturday nights, off in my bed right now Call up your girl and put them heels on It's gettin' rowdy, rowdy right now, yeah I'm on a Mo City trip, I'm a dog I'm a dog, I'm in heat baby, heat baby I'm a dog, I go ham, I'm a hog Bitch so bad, coulda thought I owed her somethin' By the way I broke her off When she get too on, we take if off Drink so long, for a year I didn't cough Fantasizin' and fistin' and switchin' up positions Do you mind if we just menage just a little?Mo City trip right now, Mo City trip right now"
you-the-6,if-youre-reading-this-its-too-late,"Having conversations with mama, man my life is a mess Ain't been returning the texts, so she been reading the press She got google alerts, them shits go straight to her phone She worry bout me from home, you know she raised me alone She said ""I heard you back with you know who"" I told her ""Girl I'm always back with you know who"" And she like ""Who are we kidding"" ""You're only 27 you just being you"" ""You're your fathers child man thank god you got some me in you"" At least I always, at least I always see it through At least I'm always being true to what you taught me Retired teacher but your words still got me evolving Never get sloppy drunk, but alcohol is problem solving And look I hate it when you hate on all my girlfriends And assistants always convinced that there's always someone better Like that girl from that gym who trains you I know you wanna arrange it, you told me she's free thursday And I'm sure that she's a angel but she don't want this life The timing ain't right Maybe one day but even one day with us is a time of a life We do things that people pay to document You got the sweetest heart but I'm not here to give out compliments, or boost nobody confidence momma I got no friends in this momma I don't pretend with this momma I'on joke with this momma I pull the knife out my back and cut they throat with it momma I'm ""Game of Thrones"" with it momma I'm "" Home Alone"" with it momma I'm t- I really hate using this tone with you momma I really hate getting aggressive on this phone with you momma I really hate wasting your time to check a clone or two momma It's just they cloning me momma Them niggas wannabes momma Its like - I'm the one they wanna be momma I just- I- I can't be out here being vulnerable momma I mean I kill em every time they do a song with me momma I sing a hook they sing along with me momma What more they want from me momma? Yeah, this is a crazy life But you and the six raised me right ""Don't ever take advice,"" that was great advice You and the six raised me right, that shit saved my lifeHaving conversations with momma, we start talkin' bout dad You know he dropping a single, he saying this is his window That nigga still wearing linen, that nigga still in the club Call him after we get off the phone and show him some love That nigga memphis for real, girl he love you to death He made mistakes throughout his life that he still doesn't accept But he just want our forgiveness, and fuck it look how we living I'm content with this story, who are we not to forgive him? At least I been to a prison, at least I know what it's like I used to rap on the phone, one of his friends doing life And now I got me a Grammy, that could be part of the reason Let's just call this shit even, we got some things to believe in Do you remember back to Weston Road, Scarlett Road? Hangin' with [?] shit could've gone south for me he looked out for me ma He never let me do drugs He let me shoot a gun one summer but out there everyone does He made me listen to his music, old music, soul music Shit that can only be created if you go through it I used to get teased for being black, and now I'm here and I'm not black enough Cause I'm not acting tough or making stories up bout where I'm actually from But I just roll with it momma, rolling stone with it momma Gotta be careful around rolling stones or anyone that's tryna throw stones at me momma I'm not condoning it momma They will not tear nothing down I built this home for you momma Know I don't call enough momma I just been working with so little time for personal momma Hard labor let me pay the price You and the six raised me right that shit saved my life"
jungle,if-youre-reading-this-its-too-late,"Rock me real slowly Put a bib on me I'm just like a baby, drooling over you The things you doThese days, I'm letting God handle all things above me The things I can't change are the reasons you love me Listen you can hear them calling my name I'm all over the place, I can't sit in one place I'm not ashamed at all Still findin' myself, let alone a soulmate, I'm just sayin' Feel like we one and the same, our relationship changed That or it never existed Whenever they say somethin' bout us, you listen But fuck what they talkin' about on your timeline That's cuttin' all into my time with you Fuck what they talkin' about on your timeline That's cuttin' all into my time with youRock me real slowly Put a bib on me I'm just like a baby, drooling over you The things you doShe said you're my everything I love you through everything I done did everything to her She forgave me for everything, this a forever thing Hate that I treated like it's a whatever thing Trust me girl, this shit is everything to me She from the Jungle, she from the Jungle I take somebody elses car, drive it undercover This shit is everything to me, this shit is everything Don't know where we stand, I used to hit you bout everything Are we still good? Are we still good? Are we still good? Are we still good? If I need to talk are you around? Are you down for the cause? Are you down? Are you down? Are you down? Are you down for the cause? Are you down? Are you down? Are you down? Are you down for the cause? You still down? You still down? You still down?Rock me real slowly Put a bib on me I'm just like a baby, drooling over you The things you doThese days these new girls got me nervous They go to school and do bottle service They can't decide, they keep switching majors Being indecisive makes me anxious Call your number and it's out of service Who can I call for your information? What am I supposed to do after we done doing everything we do Who is your replacement? Are we still good? Are we still good? Are we still good? Are we still good?"
6pm-in-new-york,if-youre-reading-this-its-too-late,"Yeah, oh you gotta love it Oh you got, oh you gotta love it I heard what circulated, let's get to the bottom of it I told 1da send me something and I got it covered Somehow always rise above it Why you think I got my head in the clouds on my last album cover? The game is all mine and I'm mighty possessive Lil Wayne could not have found him a better successor Every shot you see them take at me? They all contested Allen Iverson shoe deal, these niggas all in question Last night I went to sleep, wanted more Tried to decide what direction I should go towards Some nights I wish I could go back in life Not to change shit, just to feel a couple things twice 28 at midnight, wonder what's next for me Longevity, wonder how long they'll check for me Prolly forever if I stay in my zone I speak on this generation but can't change it alone I heard a lil lil homie talking reckless in Vibe Quite a platform you chose, you shoulda kept it inside Oh you tried, it's so childish calling my name on the world stage You need to act your age and not your girl's age It gets worse by the annual my career's like a how to manual So I guess it's understandable man Oh you gotta love it, you gotta love it cheer I know rappers that call Paparazzi to come and get 'em To show they outfits off, guess they need the attention I remember when it used to be music that did it But then again times have changed man, who are we kiddin'? I'm managed by my friends that I grew up with I'd rather give that 15% to people I fuck with If me and Future hadn't made it with this rappin' We prolly be out in Silicon tryna get our billions on But here we are, yeah Lately I feel the haters eatin' away at my confidence They scream out my failures and whisper my accomplishments Bitches alter my message like we have words And stories bout my life hit the net like a bad serve Bitter women I'm overtextin' are PMSing crazy this year Fuckin' with my image I've been tryna reach to you so I can save 'em this year Fuck it I guess I gotta wait til next year And I heard someone say something that stuck with me a lot Bout how we need protection from those protectin' the block Nobody lookin' out for nobody Maybe we should try and help somebody or be somebody Instead of bein' somebody that makes the news So everybody can tweet about it And then they start to RIP about it And four weeks later nobody even speaks about it Damn, I just had to say my peace about it Oh you gotta love it But they scared of the truth so back to me showin' out in public That's a hotter subject I've been whippin' Mercedes and nigga try to budget I gotta make it back to Memphis to check on my cousins Shout out to Ashley, Biama, Julia, Ericka, Southern America Part of my heritage, pardon my arrogance, part in my hair again That's that comeback flow, comeback flow Once I start it's apparent I wanted a girl whose ass is so big that's partly embarrassin' But fuck all the blushin' and fuck your discussions And fuck all the judgement Your content so aggressive lately, what's irkin' you? Shit is gettin' so personal in your verses too I wanna prove that I'm number one over all these niggas Bein' number two is just being the first to lose My city dictated music, nobody seein' us Winter here already but somehow I'm heatin' up Been observin' the game and felt like I've seen enough Let's drop a tape on these niggas then we'll see what's up Yea, boy you rappin' like you seen it all You rappin' like the throne should be the three of ya'll Best I Ever Had seems like a decade ago Decadent flow and I still got a decade to go Oh please, take at ease, where's the love and the peace Why you rappin' like you come from the streets? I got a backyard where money seems to come from the trees And I'm never ever scared to get some blood on my leaves Phantom slidin' like the shit just hit a puddle of grease I cook the beef well done on the double with cheese Special order for anybody that's comin' for me Shit you probably flinch if somebody sneeze You see they got me back like it's just 40, Oli, and me Cuttin' all loose ends, I be the barber for free I'm almost at four minutes going off on the beat Feel like I'm in the Malibu that had the cloth on the seats Man, oh you gotta love it And on top of that it's getting harder to eat Rappers downgrading houses Putting cars on the lease To think labels said they had a problem marketing me And now it's everybody else that's getting hard to believe Oh you gotta love it And head to toe I'm Prada covered I know your girl well, just not in public Blame the city, I'm a product of it Young nigga from the city You gotta love it"
digital-dash,what-a-time-to-be-alive,"My dope in the bushes My dope in the bushes I know how to cook it My bitch good looking My bitch good looking My bitch good looking My dope in the bushes I know how to cook it Yeah, yeah, yeahI did the digital dash I fuck your bitch in the passenger I give the junky a blast I send that dope to your momma tho Out in the streets like thermometers You rats will never be honorable They know I'mma kid of my word A hustler the first to the firstThese bitches be naggin the kid They get on my motherfucking nerves I showed her my racks and they love me I'm smokin' that pack on muddy Taliban on these hoes Give a Xan to these hoes Got em playing with they nose I sleep on the beach off the avenue I came to your city with revenue I put in work it was evident I slide on your ass in the 7 deuce Come back on your bitch in a 6-trey Chevy, Mercedes I keep em' comin' Fuck all these bitches I keep em' comin' I pull up right now I'm parallel I hit your block with them swangers My niggas ain't nothin' but some bangers I sit in the trap with the gangsters You don't come around here cause its dangerous I be hangin' around here and I'm famous Gotta keep the trigger by my finger Hit her sideways when I banged her In the driveway on a perc I was sideways on a perc Had a stick on me, thats a first Got your bitch on me gettin' murked I post up and thats confident I boast up in a drop 6 Gotta Ghost Royce and I pop shit I'm a dope boy with that cock trip I came in the game I had crack on me Got big with my bag with some Act on me I'm single and shit and she lash on me I told em' I'm back on my bachelor I get focused on millions and everything I just took me a trip out to Africa See how we came from the mud and the bottom, we did it I see how they countin' this out Bet they ain't never gonna do it again You see why these niggas be hatin', ignorin, I'm goin' right in I was born to get this money in this life of sin I bought up before they got my dog on murder again See the fire come out the ass on the Lamborghini When you say you love a nigga do you really mean it When I was sleepin' on the floor you shoulda seen how they treat me I pour the Actavis and pop pills so I can fight the demonsI did the digital dash I fuck the bitch in the passenger I give the junky a blast I send that dope to lil mama You rats will never be honorable They know I'mma kid of my word A hustler the first to the firstThese bitches be nagging the kid Fuck it, it is what it is, if you get hit you get hit I don't forget or forgive Told myself never again, I don't let nobody in Super just showed out again And we just keep servin' and servin' again And again and again and again I move the game up, I'm reckless I'm Harlem shaking through the pressure I might put Diddy on my next shit I might could fit you in on a Wednesday I'm not here for no pretend shit Just walked in with a girl that's making triple what I'm making, what an entrance That's when you know its a body Zone 6, they know it's a body Kirkwood, they know it's a body Lil Mexico know it's a body Scooter in here with the zombies Gucci get out it's a problem I might take Quentin to Follies You hate your life, just be honest I got the digital dash She want a picture with all of my niggas that just made the visual last But she too embarrassed to ask I got my foot on their neck and my foot on the gas You remind me of a quarterback, that shit is all in the past Esco and Boomin they got it on smash And I got the, I got the, I got the, I got the, II did the digital dash I fuck the bitch on the passenger I give the junky a blast"
